Viscosity in mN * s * m-2

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
BaCl2-NaCl,60-40,+E,1050,1140,,0.2475,23744.18,,,,,
BaCl2-Na3AlF6,60-40,+E,1050,1130,,0.0136,50146.08,,,,,
BeF2,100,E1,847,1252,10%,7.603E-7,220040.24,1471000.,,,"BaF2: Recommended data, shift from previous evaluation.",Function produces unexpectedly large value(s).
BeF2-KF,50-50,+E,873,1073,,0.00515,58040.16,,,,"The results appear to be approx. 18% too high, based on comparisons with the recommended data set for KF.",
BeF2-KF,79-21,DP,,,,2.2,1073.2K,,,,,
BeF2-LiF,36.00-64.00,+E,740,860,,0.0594,38284.24,,,,"The results appear to be approx. 17% too high, based on comparisons with the recommended data set for LiF.",
BeF2-LiF,45.00-55.00,+E,700,820,,0.0207,49581.23,,,,,
BeF2-LiF,50.00-50.00,+E,660,840,,0.00845,58702.5,,,,,
BeF2-LiF,55.01-44.99,+E,680,840,,0.00627,64685.72,,,,,
BeF2-LiF,60.00-40.00,+E,720,840,,0.00421,72468.09,,,,,
BeF2-LiF,65.00-35.00,+E,740,980,,0.00311,80375.98,,,,,
BeF2-LiF,70.00-30.00,+E,760,940,,0.00202,89873.82,,,,,
BeF2-LiF,75.00-25.00,+E,780,960,,9.2E-4,102635.24,,,,,
BeF2-LiF,79.99-20.01,+E,840,980,,5.98E-4,114559.84,,,,,
BeF2-LiF,85.00-15.00,+E,820,1000,,4.57E-4,125438.42,,,,,
BeF2-LiF,90.02-9.98,+E,880,1120,,1.71E-4,144141.21,,,,,
BeF2-LiF,91.02-8.98,+E,820,1100,,1.99E-4,146275.09,,,,,
BeF2-LiF,93.01-6.99,+E,860,1100,,1.05E-4,156944.47,,,,,
BeF2-LiF,94.91-5.09,+E,840,1100,,7.69E-5,164726.84,,,,,Function produces unexpectedly large value(s).
BeF2-LiF,96.01-3.99,+E,880,1080,,6.05E-5,170919.26,,,,,
BeF2-LiF,97.00-3.00,+E,880,1180,,2.31E-5,183555.15,,,,,Function produces unexpectedly large value(s).
BeF2-LiF,98.01-1.99,+E,900,1240,,6.62E-6,198324.92,,,,,Function produces unexpectedly large value(s).
BeF2-LiF,99.01-0.99,+E,980,1240,,1.53E-6,217446.12,,,,,
BeF2-LiF,100-0,E1,847,1252,10%,7.603E-7,220040.24,1471000.,,,The results for 100% BeF2 have been advanced elsewhere as the best values dataset.,Function produces unexpectedly large value(s).
BeF2-LiF-ThF4,15.7-72.7-11.6,+E,840,940,,0.1091,33995.57,,,,,
BeF2-LiF-ThF4,23.9-70.1-6.0,+E,800,900,,0.06625,36388.86,,,,,
BeF2-NaF,26.04-72.96,+E,973,1073,,0.1057,29519.87,,,,"The results appear approx. 17% too high, based on comparisons with the recommended data set for NaF.",
BeF2-NaF,30-70,+E,873.2,1073.2,,0.247243,22125.36,,,,,
BeF2-NaF,30.17-69.83,+E,873,1073,,0.2212,22682.26,,,,,
BeF2-NaF,33.33-66.67,+E,873,1073,,0.1441,30049.57,,,,,
BeF2-NaF,40-60,+E,873,1073,,0.06582,36166.68,,,,,
BeF2-NaF,43-57,+E,873,1073,,0.0346,42941.53,,,,,
BeF2-NaF,44.41-55.59,+E,873,1073,,0.04312,39485.91,,,,,
BeF2-NaF,50-50,+E,873,1073,,0.02919,45111.39,,,,,
BeF2-NaF,52.2-47.8,+E,873,1073,,0.02341,47929.78,,,,,
BeF2-NaF,57.3-42.7,+E,973,1073,,0.001276,74659.29,,,,,
BeF2-NaF,64.11-35.89,+E,973,1023,,0.002746,74051.76,,,,,
BeF2-RbF,50-50,+E,873,1073,,0.005309,55752.73,,,,"Based on comparisons with the recommended data set for RbF, the results appearapprox. 18% too high.",
BiCl3,100,+E,533,613,1.5%,0.3787,19635.84,,,,,
B2O3,100,+E,873,1023,10%,0.661,92635.31,,,,,
B2O3,100,+E,1410,1893,8%,6.738,78221.19,,,,,
B2O3-Cs2CO3,97.0-3.0,+E,873,1023,,0.078623,101564.12,,,,,
B2O3-Cs2CO3,99.0-1.0,+E,873,1023,,0.17189,98547.4,,,,,
B2O3-Cs2CO3,100-0,+E,873,1023,,0.661,92635.31,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-K2B4O7,94.8-5.2,+E,1080,1320,,53.8846,50455.7,,,,,
B2O3-K2B4O7,96.8-3.2,+E,1080,1220,,44.9903,55786.21,,,,,
B2O3-K2B4O7,100-0,+E,1030,1370,,52.1,57949.37,,,,"For 100% B2O3, the results appear approx. 40-50% too high, based on comparisons with the recommended data set.",
B2O3-K2CO3,94.0-6.0,DP,,,,160000.,873K,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-K2CO3,97.0-3.0,DP,,,,100000.,873K,,,,,
B2O3-K2CO3,99.0-1.0,+E,873,1023,,0.1359,99754.09,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-Li2CO3,94.0-6.0,+E,873,1023,,2.4653E-4,146643.29,,,,,
B2O3-Li2CO3,97.0-3.0,+E,973,1023,,0.01661,114744.35,,,,,
B2O3-Li2CO3,99.0-1.0,+E,873,1023,,0.01789,116524.26,,,,,
B2O3-Li2CO3,100-0,+E,873,1023,,0.661,92635.31,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-NaCl,2-98,+E,870,1020,,0.08572,106195.88,,,,,
B2O3-NaCl,99-1,+E,870,1020,,0.32406,96777.54,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-NaF,81.1-19.9,+E,870,1010,,2.0269E-5,170433.91,,,,,
B2O3-NaF,87.9-12.1,+E,870,1010,,2.2615E-5,167772.84,,,,,
B2O3-NaF,93.6-6.4,+E,870,1010,,0.003038,127869.36,,,,,
B2O3-NaF,97.3-2.7,+E,870,1010,,0.012175,119681.14,,,,,
B2O3-NaPO3,0.0-100.0,+E,916,1029,,0.02412,83258.81,,,,"For 100% NaPO3, the results have been advanced as the recommended data set.",
B2O3-NaPO3,59.4-40.6,P2,1070,1220,,206673.,-345.57,0.14464,,,,
B2O3-NaPO3,96.5-3.5,+E,1070,1220,,2.08791,75484.81,,,,,
B2O3-NaPO3,100-0,+E,970,1170,,5.17,76263.04,,,,"For 100% B2O3, the departures from the recommended data set are: 970 K, +2.7%,1020 K, +13.2%.",
B2O3-Na2B4O7,0-100,+E,948,1023,,4.531E-11,274558.67,,,,"For 100% Na2B4O7, the results appear about 39% too high at approx. 1030 K on comparison with the recommended data set.",
B2O3-Na2B4O7,23.9-76.1,+E,948,1023,,1.0914E-11,293717.53,,,,,
B2O3-Na2B4O7,51.4-49.6,+E,948,1023,,8.811E-12,302591.94,,,,,
B2O3-Na2B4O7,54.8-45.2,+E,948,1023,,2.8109E-11,293336.78,,,,,
B2O3-Na2B4O7,59.9-40.1,+E,948,1023,,3.8504E-11,288286.61,,,,,
B2O3-Na2B4O7,64.9-35.1,+E,948,1023,,1.4285E-10,277604.68,,,,,
B2O3-Na2B4O7,66.3-33.7,+E,948,1023,,7.4E-11,285341.02,,,,,
B2O3-Na2B4O7,67.2-32.8,+E,948,1023,,3.0739E-10,270755.35,,,,,
B2O3-Na2B4O7,77.6-22.4,+E,948,1023,,2.0482E-8,235153.1,,,,,
B2O3-Na2B4O7,92.1-7.9,+E,923,1023,,7.485E-4,141603.15,,,,,
B2O3-Na2B4O7,100.00-0.00,+E,923,1023,,4.303,80250.46,,,,"For 100% B2O3, the departures from the recommended data set are: 920 K, +29%, 1020 K, +51%.",
B2O3-Na2CO3,94.0-6.0,+E,873,1023,,0.024434,114045.2,,,,,
B2O3-Na2CO3,97.0-3.0,+E,873,1023,,0.01091,119870.26,,,,,
B2O3-Na2CO3,99.0-1.0,+E,873,1023,,0.0203,115589.12,,,,,
B2O3-Na2CO3,100-0,+E,873,1023,,0.661,92635.31,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-Na3AlF6,96.8-3.2,+E,873,1023,,0.072912,96915.61,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
B2O3-Na3AlF6,98.4-1.6,+E,873,1023,,0.08357,102042.35,,,,,
B2O3-Rb2CO3,97.0-3.0,+E,873,1023,,0.006918,118204.58,,,,,
B2O3-Rb2CO3,99.0-1.0,+E,873,1023,,0.4838,88069.23,,,,"For 100% B2O3, the results have been advanced as the recommended data set.",
Ca(NO3)2-KNO3,0-100,+E,626,667,,0.064641,19388.98,,,,"For 100% KNO3, the departures from the recommended data set are: 620 K, -0.3%,670 K, -1.1%.",
Ca(NO3)2-KNO3,20-80,+E,500,670,,0.04063,23632.46,,,,,
Ca(NO3)2-KNO3,26-74,+E,450,525,,0.00111287,40204.31,,,,,
Ca(NO3)2-KNO3,26-74,+E,526,667,,0.044748,23840.83,,,,,
Ca(NO3)2-KNO3,33-67,P3,440,525,,55791.1,-334.8012,0.670742,-4.4842E-4,,,
Ca(NO3)2-KNO3,33-67,+E,526,667,,0.037111,25426.59,,,,,
Ca(NO3)2-KNO3,36-64,+E,460,525,,1.451E-4,50447.33,,,,,
Ca(NO3)2-KNO3,36-64,+E,526,667,,0.023373,28296.87,,,,,
Ca(NO3)2-KNO3,40-60,P3,450,525,,39145.8,-220.977,0.41596,-2.6094E-4,,,
Ca(NO3)2-KNO3,40-60,+E,526,667,,0.019033,30250.83,,,,,
Ca(NO3)2-KNO3,45-55,+E,480,525,,6.679E-5,56171.14,,,,,
Ca(NO3)2-KNO3,45-55,+E,526,667,,0.010472,33727.79,,,,,
Ca(NO3)2-KNO3-NaNO3,12-19-69,+E,573,673,,0.07943,19043.79,,,,,
Ca(NO3)2-KNO3-NaNO3,12-40-48,+E,573,673,,0.06975,19687.72,,,,,
Ca(NO3)2-KNO3-NaNO3,13-62-25,+E,573,673,,0.06404,20443.37,,,,,
Ca(NO3)2-KNO3-NaNO3,22-36-42,+E,573,673,,0.03436,24739.57,,,,,
Ca(NO3)2-KNO3-NaNO3,25-25-50,+E,573,673,,0.03109,25709.02,,,,,
Ca(NO3)2-KNO3-NaNO3,25-50-25,+E,573,673,,0.03746,24545.43,,,,,
Ca(NO3)2-KNO3-NaNO3,32.3-52.1-15.6,+E,423,501,,1.207E-4,50851.09,,,,,
Ca(NO3)2-KNO3-NaNO3,32.3-52.1-15.6,+E,501,610,,0.004283,35964.59,,,,,
Ca(NO3)2-LiNO3,0-100,+E,530,680,,0.06263,19784.37,,,,"For 100% LiNO3, the departures from the recommended data set are: 540 K -0.5%,650 K -4.9%.",
Ca(NO3)2-LiNO3,5-95,+E,520,700,,0.02804,24674.72,,,,,
Ca(NO3)2-LiNO3,11-89,+E,520,700,,0.02504,26468.85,,,,,
Ca(NO3)2-LiNO3,16-84,+E,520,680,,0.01516,30093.92,,,,,
Ca(NO3)2-LiNO3,21-79,+E,550,690,,0.02033,29493.93,,,,,
Ca(NO3)2-LiNO3,27-73,+E,580,680,,0.01826,30821.95,,,,,
Ca(NO3)2-LiNO3,33-67,+E,620,690,,0.01786,31771.74,,,,,
Ca(NO3)2-LiNO3,38-62,+E,640,690,,0.01627,33094.32,,,,,
Ca(NO3)2-LiNO3,43-57,+E,660,690,,0.01419,35079.24,,,,,
Ca(NO3)2-LiNO3,48-52,+E,680,710,,0.00589,40643.22,,,,,
Ca(NO3)2-LiNO3,54-46,+E,690,710,,0.001504,49609.26,,,,,
Ca(NO3)2-NaNO3,0-100,+E,590,690,,0.1038,16129.59,,,,"For 100% NaNO3, the departures from the recommended data set are: 590 K -2.9%,690 K -2.5%.",
Ca(NO3)2-NaNO3,5-95,+E,570,690,,0.09491,17464.31,,,,,
Ca(NO3)2-NaNO3,11-89,+E,560,700,,0.08809,18382.71,,,,,
Ca(NO3)2-NaNO3,18-82,+E,530,680,,0.0416,23682.25,,,,,
Ca(NO3)2-NaNO3,25-75,+E,530,680,,0.02384,27321.14,,,,,
Ca(NO3)2-NaNO3,30-70,+E,530,680,,0.02234,28401.05,,,,,
Ca(NO3)2-NaNO3,38-62,+E,570,690,,0.02204,29548.32,,,,,
Ca(NO3)2-NaNO3,43-57,+E,600,700,,0.02865,28796.86,,,,,
Ca(NO3)2-NaNO3,48-52,+E,640,690,,0.01895,32003.53,,,,,
Ca(NO3)2-NaNO3,54-46,+E,680,710,,0.005196,40359.54,,,,,
Ca(NO3)2-NaNO3,60-40,+E,680,710,,9.305E-5,64433.84,,,,,
CaCl2,100,+E,980,1240,1%,0.10215,30350.99,,,,,
CaCl2-NaCl,0-100,+E,1100,1140,,0.01395,42290.07,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, +44%,1140 K, +33%.",
CaCl2-NaCl,10-90,+E,1050,1140,,0.005655,52052.34,,,,,
CaCl2-NaCl,20-80,+E,1000,1140,,0.01433,44631.47,,,,,
CaCl2-NaCl,30-70,+E,980,1140,,0.03606,37282.99,,,,,
CaCl2-NaCl,40-60,+E,930,1140,,0.15,25498.98,,,,,
CaCl2-NaCl,50-50,+E,930,1140,,0.2175,23409.45,,,,,
CaCl2-NaCl,60-40,+E,930,1140,,0.3268,20722.86,,,,,
CaCl2-NaCl,80-20,+E,980,1140,,0.3321,22546.28,,,,,
CaCl2-NaCl,90-10,+E,1030,1140,,0.3743,22346.7,,,,,
CaCl2-NaCl,100-0,+E,1030,1140,,0.1715,28610.25,,,,"For 100% CaCl2, the departures from the recommended data set are: 1030 K, +36.7%, 1140 K, +39.8%.",
CaC2-CaO,75-25,P3,2190,2490,,29111.2,-12.8903,-0.0041496,1.88E-6,,,
CaF2-CaO,51.9-48.1,DP,,,,1.5,1873K,,,,,
CaF2-CaO,55.0-45.0,DP,,,,1.,1873K,,,,,
CaF2-CaO,56.1-43.9,DP,,,,0.8,1873K,,,,,
CaF2-CaO,56.6-43.4,DP,,,,0.6,1873K,,,,,
CaF2-CaO,57.2-42.8,DP,,,,0.4,1873K,,,,,
CaF2-CaO,58.2-41.8,DP,,,,0.3,1873K,,,,,
CaF2-CaO,62.2-37.8,DP,,,,0.2,1873K,,,,,
CaF2-MgO,67.38-32.62,+E,1475,1621,,0.020597,99367.48,,,,,
CaF2-Na3AlF6,0-100,+E,1303,1343,,0.1856,20769.72,,,,"For 100% Na3AlF6, the departures from the recommended data set are: 1300 K, -41%, 1340 K, -40%.",
CaF2-Na3AlF6,6.4-93.6,+E,1300,1340,,0.0759572,30804.8,,,,,
CaF2-Na3AlF6,12.4-87.6,+E,1300,1340,,0.0479496,35979.24,,,,,
CaF2-Na3AlF6,23.0-77.0,+E,1300,1340,,0.039205,38316.46,,,,,
CaF2-TiO2,95-5,DP,,,,2.75,1570K,,,,,
CaF2-V2O5,97.79-2.21,+E,1562,1773,,3.047E-4,163304.25,,,,,
CaO-KOH-K2CO3,7.6-2.0-90.4,+E,680,860,,0.0208415,26320.31,,,,,
CaO-NaF,55-15 CaO,I2,1673,,,-25.2,3.38,-0.008,,,,
CaO-NaOH-Na2CO3,1.4-97.0-1.6,+E,730,820,,0.0997208,18340.45,,,,,
CaSO4-Na2SO4,0-100,+E,1240,1470,,0.148,41798.86,,,,"For 100% Na2SO4, the results have been advanced as the recommended data set.",
CaSO4-Na2SO4,10-90,+E,1240,1470,,0.0479,57405.44,,,,,
CaSO4-Na2SO4,20-80,+E,1240,1470,,0.024,65815.42,,,,,
CaSO4-Na2SO4,30-70,+E,1240,1470,,0.0407,63514.18,,,,,
CaSO4-Na2SO4,40-60,+E,1240,1470,,0.2884,45982.93,,,,,
CaSO4-Na2SO4,55-45,+E,1240,1470,,0.4786,39999.71,,,,,
Cd(NO3)2-KNO3-LiNO3,11.3-61.2-27.5,+E,403,603,,0.01431,26160.06,,,,,
Cd(NO3)2-KNO3-NaNO3,22.0-59.1-18.9,+E,412,473,,0.003138,32981.77,,,,,
Cd(NO3)2-KNO3-NaNO3,22.0-59.1-18.9,+E,473,605,,0.02629,24296.89,,,,,
Cd(NO3)2-KNO3-NaNO3,46.0-14.6-39.4,+E,404,519,,1.019E-4,52066.99,,,,,
Cd(NO3)2-KNO3-NaNO3,46.0-14.6-39.4,+E,519,603,,0.003439,36942.41,,,,,
Cd(NO3)2-LiNO3-NaNO3,38.9-20.1-41.0,+E,403,468,,2.33E-4,47372.04,,,,,
Cd(NO3)2-LiNO3-NaNO3,38.9-20.1-41.0,+E,468,603,,0.002255,38360.81,,,,,
Cd(SCN)2-N(C3H7)4SCN,1.8-98.2,+E,330,370,,2.9367E-5,43871.35,,,,,
Cd(SCN)2-N(C3H7)4SCN,4.7-95.3,+E,330,370,,1.6999E-5,45921.8,,,,,
Cd(SCN)2-N(C3H7)4SCN,15.1-84.9,+E,330,370,,6.0141E-6,49859.18,,,,,
Cd(SCN)2-N(C3H7)4SCN,21.1-78.9,+E,330,370,,2.8786E-6,52655.73,,,,,
CdBr2,100,+E,853,949,1.5%,0.1893,19062.62,,,,,
CdBr2-CdCl2,0-100,+E,863,963,,0.2405,16368.08,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdBr2-CdCl2,10-90,+E,873,933,,0.2168,17238.37,,,,,
CdBr2-CdCl2,20-80,+E,873,933,,0.2101,17558.03,,,,,
CdBr2-CdCl2,30-70,+E,873,933,,0.2037,17871.42,,,,,
CdBr2-CdCl2,40-60,+E,873,933,,0.21,17711.59,,,,,
CdBr2-CdCl2,50-50,+E,873,933,,0.2039,18017.02,,,,,
CdBr2-CdCl2,60-40,+E,873,933,,0.2101,17858.45,,,,,
CdBr2-CdCl2,70-30,+E,873,933,,0.2041,18156.35,,,,,
CdBr2-CdCl2,80-20,+E,873,933,,0.1984,18448.4,,,,,
CdBr2-CdCl2,90-10,+E,873,933,,0.2044,18291.08,,,,,
CdBr2-CdCl2,100-0,+E,853,949,,0.1893,19062.62,,,,"For 100% CdBr2, the results have been advanced as the recommended data set.",
CdBr2-KCl,50-50,+E,683,791,,0.198419,16242.14,,,,,
CdBr2-KCl,60-40,+E,683,791,,0.181767,16635.44,,,,,
CdBr2-KCl,70-30,+E,733,791,,0.2096,15754.7,,,,,
CdBr2-KCl,80-20,+E,733,791,,0.1959,16424.99,,,,,
CdBr2-NaCl,60-80 CdBr2,I2,793,,,2.625,-0.008152,1.011E-4,,,,
CdBr2-PbCl2,0-100,DP,,,,3.8,793K,,,,"For 100% PbCl2 at 793 K, the departure from the recommended data set is -7.4%.",
CdBr2-PbCl2,10-90,DP,,,,3.7,793K,,,,,
CdBr2-PbCl2,20-80,DP,,,,3.6,793K,,,,,
CdBr2-PbCl2,30-70,+E,733,793,,0.08191,24719.07,,,,,
CdBr2-PbCl2,40-60,+E,733,793,,0.08994,23832.04,,,,,
CdBr2-PbCl2,50-50,+E,733,793,,0.09026,23547.11,,,,,
CdBr2-PbCl2,60-40,+E,733,793,,0.1163,21914.9,,,,,
CdBr2-PbCl2,70-30,DP,,,,4.27,733K,,,,,
CdBr2-PbCl2,80-20,DP,,,,4.36,733K,,,,,
CdBr2-PbCl2,90-10,DP,,,,4.5,733K,,,,,
CdCl2,100,+E,863,963,1.5%,0.2405,16368.08,,,,,
CdCl2-CdI2,0-100,+E,683,793,,0.03235,32126.96,,,,"For 100% CdI2, the departures from the recommended data set are: 690 K, -34%, 790 K, -41%.",
CdCl2-CdI2,10-90,+E,683,793,,0.06952,27084.32,,,,,
CdCl2-CdI2,20-80,+E,683,793,,0.08508,25837.47,,,,,
CdCl2-CdI2,30-70,+E,683,793,,0.0982,24837.89,,,,,
CdCl2-CdI2,40-60,+E,683,793,,0.08688,25659.65,,,,,
CdCl2-CdI2,50-50,+E,683,793,,0.1013,24703.59,,,,,
CdCl2-KBr,32.7-67.3,+E,683,930,,0.11685,18265.98,,,,,
CdCl2-KBr,37.9-62.1,+E,644,918,,0.092337,20585.21,,,,,
CdCl2-KBr,43.9-56.1,+E,697.9,916,,0.078273,21440.43,,,,,
CdCl2-KBr,50.8-49.2,+E,704.3,877.6,,0.073125,22530.8,,,,,
CdCl2-KBr,53.5-46.5,+E,667,911,,0.11295,19741.28,,,,,
CdCl2-KBr,59.9-40.1,+E,650,904,,0.066934,23154.64,,,,,
CdCl2-KCl,21.6-78.4,+E,880,970,,0.05392,25309.44,,,,,
CdCl2-KCl,26.1-73.9,+E,830,970,,0.0668,23670.12,,,,,
CdCl2-KCl,37.5-62.5,+E,730,970,,0.06544,23564.68,,,,,
CdCl2-KCl,45.6-54.4,+E,730,970,,0.06313,23803.17,,,,,
CdCl2-KCl,50.1-49.9,+E,730,970,,0.06124,24016.56,,,,,
CdCl2-KCl,51.1-48.9,+E,730,970,,0.06977,23292.72,,,,,
CdCl2-KCl,65.6-34.4,+E,730,970,,0.07274,23815.73,,,,,
CdCl2-KCl,76.5-23.5,+E,780,970,,0.10266,22058.42,,,,,
CdCl2-KCl,100.0-0.0,+E,863,963,,0.2405,16368.08,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-NaBr,60-40,+E,735,793,,0.3812,12186.52,,,,,
CdCl2-NaBr,70-30,+E,735,793,,0.2892,14089.02,,,,,
CdCl2-NaBr,80-20,DP,,,,2.61,793K,,,,,
CdCl2-NaCl,27.2-72.8,+E,930,970,,0.098,21322.02,,,,,
CdCl2-NaCl,50.0-50.0,+E,730,970,,0.0715,23359.24,,,,,
CdCl2-NaCl,54.5-45.5,+E,730,970,,0.0659,23987.27,,,,,
CdCl2-NaCl,60.0-40.0,+E,730,970,,0.07732,23205.69,,,,,
CdCl2-NaCl,74.5-25.5,+E,780,970,,0.1045,21531.22,,,,,
CdCl2-NaCl,100.0-0.0,+E,863,963,,0.2405,16368.08,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-PbBr2,0-100,+E,733,793,,0.05864,27741.22,,,,"For 100% PbBr2, the departures from the recommended data set are: 735 K, +21%,790 K, +16%.",
CdCl2-PbBr2,10-90,+E,733,793,,0.04893,28643.72,,,,,
CdCl2-PbBr2,20-80,+E,733,793,,0.04138,29481.79,,,,,
CdCl2-PbBr2,30-70,+E,733,793,,0.03357,30638.69,,,,,
CdCl2-PbBr2,40-60,+E,733,793,,0.02856,31551.65,,,,,
CdCl2-PbBr2,50-50,DP,,,,3.4,793K,,,,,
CdCl2-PbBr2,60-40,DP,,,,3.4,793K,,,,,
CdCl2-PbCl2,0.0-100.0,+E,800,950,,0.04915,29284.31,,,,"For 100% PbCl2, the departures from the recommended data set are: 800 K, +1.5%, 950 K, -1.0%.",
CdCl2-PbCl2,25.1-74.9,+E,760,950,,0.07629,25725.34,,,,,
CdCl2-PbCl2,35.8-64.2,+E,720,950,,0.08377,24578.06,,,,,
CdCl2-PbCl2,48.2-51.8,+E,760,950,,0.08208,24489.36,,,,,
CdCl2-PbCl2,74.6-25.4,+E,840,950,,0.1552,19499.44,,,,,
CdCl2-PbCl2,100.0-0.0,+E,863,963,,0.2405,16368.08,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdI2,100,+E,680,920,4%,0.082084,29472.59,,,,,
CeCl3-KCl-NaCl,2.9-48.5-48.6,+E,973,1123,,0.04532,28058.37,,,,Estimated accuracy based on principles of the method: about 10%. KCl-NaCl ratio held at equimolar.,
CeCl3-KCl-NaCl,6.3-46.9-46.8,+E,973,1123,,0.0262,33850.38,,,,,
CeCl3-KCl-NaCl,21.2-39.4-39.4,+E,973,1123,,0.04978,29920.28,,,,,
Co4S3,100,+E,1523,1773,10%,0.3289,23775.56,,,,,
Co4S3-Cu2S,0-100,+E,1473,1773,,0.3102,32112.32,,,,"For 100% Cu2S, the departures from the recommended data set are: 1473 K, -0.7%, 1773 K, +7.5%.",
Co4S3-Cu2S,5.03-94.97,+E,1473,1773,,0.4033,27473.02,,,,,
Co4S3-Cu2S,10.66-89.34,+E,1473,1773,,0.4039,26272.19,,,,,
Co4S3-Cu2S,16.98-83.02,+E,1473,1773,,0.521,21236.67,,,,,
Co4S3-Cu2S,24.30-75.70,+E,1473,1773,,0.4435,22570.97,,,,,
Co4S3-Cu2S,32.47-67.53,+E,1473,1773,,0.4748,20826.63,,,,,
Co4S3-Cu2S,41.90-58.10,+E,1473,1773,,0.4115,21341.69,,,,,
Co4S3-Cu2S,52.75-47.25,+E,1473,1773,,0.4209,19686.05,,,,,
Co4S3-Cu2S,65.67-34.33,+E,1473,1773,,0.375,21389.8,,,,,
Co4S3-Cu2S,81.14-18.86,+E,1473,1773,,0.3927,20240.44,,,,,
Co4S3-Cu2S,100-0,+E,1473,1773,,0.3949,21254.66,,,,"For 100% Co4S3, the departures from the recommended data set are: 1480 K, -2.0%, 1770 K, +0.9%.",
Co4S3-FeS,0-100,+E,1523,1773,,0.3327,29434.1,,,,"For 100% FeS, the results have been advanced as the recommended data set.",
Co4S3-FeS,3-97,+E,1523,1773,,0.3385,28248.75,,,,,
Co4S3-FeS,6-94,+E,1523,1773,,0.3325,27859.21,,,,,
Co4S3-FeS,10-90,+E,1523,1773,,0.3267,27430.34,,,,,
Co4S3-FeS,15-85,+E,1523,1773,,0.3009,27551.26,,,,,
Co4S3-FeS,21-79,+E,1523,1773,,0.3341,25231.2,,,,,
Co4S3-FeS,38-62,+E,1523,1773,,0.328,22894.81,,,,,
Co4S3-FeS,44-56,+E,1523,1773,,0.3553,21232.9,,,,,
Co4S3-FeS,51-49,+E,1523,1773,,0.3553,21232.9,,,,,
Co4S3-FeS,70-30,+E,1523,1773,,0.3827,20621.19,,,,,
Co4S3-FeS,100-0,+E,1523,1773,,0.3289,23775.56,,,,"For 100% Co4S3, the results have been advanced as the recommended data set.",
Co4S3-Ni3S2,0-100,+E,1523,1773,,0.3704,28444.14,,,,"For 100% Ni3S2, the results have been advanced as the recommended data set.",
Co4S3-Ni3S2,7.4-92.6,+E,1523,1773,,0.7705,16565.57,,,,,
Co4S3-Ni3S2,15.3-84.7,+E,1523,1773,,1.06,10761.01,,,,,
Co4S3-Ni3S2,23.6-76.4,+E,1523,1773,,1.163,8361.45,,,,,
Co4S3-Ni3S2,32.6-67.4,+E,1523,1773,,1.015,9080.27,,,,,
Co4S3-Ni3S2,42.1-57.9,+E,1523,1773,,1.06,7386.98,,,,,
Co4S3-Ni3S2,52.2-47.8,+E,1523,1773,,0.8648,9069.81,,,,,
Co4S3-Ni3S2,62.8-37.2,+E,1523,1773,,0.752,10179.42,,,,,
Co4S3-Ni3S2,74.4-25.6,+E,1523,1773,,0.8393,8561.03,,,,,
Co4S3-Ni3S2,86.6-13.4,+E,1523,1773,,0.8829,8297.43,,,,,
Co4S3-Ni3S2,100-0,+E,1523,1773,,0.3289,23775.56,,,,"For 100% Co4S3, the results have been advanced as the recommended data set.",
CsBr,100,+E,912,1192,1.5%,0.0847,22920.34,,,,,
CsBr-CsCl,0-100 CsBr,I1,1070,,,1.033,0.001684,,,,"For 100% CsCl and 100% CsBr, the departures from the recommended data sets are, respectively, +1.7% and +8%.",
CsBr-CsF,0-100 CsBr,I3,1070,,,1.304,-0.00263,-4.083E-5,5.694E-7,,"For 100% CsF and 100% CsBr, the results differ from the recommended data sets by -18% and +8%, respectively.",
CsBr-CsI,0-100 CsI,I2,1070,,,1.203,-0.0023,4.253E-6,,,"For 100% CsBr and 100% CsI at 1070 K, the departures from the recommended datasets are, respectively: +8.0% and +1.6%.",
CsCl,100,+E,934,1072,1%,0.07148,23619.41,,,,,
CsCl-CsF,0-100 CsCl,I4,1070,,,1.304,-0.01404,3.029E-4,-2.709E-6,8.148E-9,"For 100% CsF and 100% CsCl, the results differ by -18% and +1.7%, respectively, from the recommended data sets.",
CsCl-CsI,0-100 CsI,I4,1073,,,1.034,4.729E-4,-3.116E-5,4.026E-7,-1.613E-9,"For 100% CsCl and 100% CsI, the departures from the recommended data sets are,respectively: +2% and +1.7%.",
