Density in g * cm-3

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
CdBr2-KBr,30.3-69.7,P1,890,1100,,3.5369,-8.574E-4,,,,,
CdBr2-KBr,40.0-60.0,P1,780,1010,,3.694,-8.407E-4,,,,,
CdBr2-KBr,61.0-39.0,P1,920,1100,,4.0665,-8.5782E-4,,,,,
CdBr2-KBr,80.2-19.8,P1,880,1030,,4.5717,-9.851E-4,,,,,
CdBr2-KBr,100-0,P1,900,1060,,4.4627,-5.3769E-4,,,,"For 100% CdBr2, the departures from the recommended data set are: 900 K, -0.4%, 1060 K, +1.4%.",
CdBr2-KCl,0-100,P1,1100,1320,,2.07,-5.4E-4,,,,"For 100% KCl, the departures from the recommended data set are: 1100 K, -1.2%,1320 K, -0.6%.",
CdBr2-KCl,20-80,P1,722.2,990.2,,2.731,-6.73E-4,,,,,
CdBr2-KCl,40-60,P1,988.2,1235.2,,3.294,-7.91E-4,,,,,
CdBr2-KCl,45.3-54.7,P1,820,940,,3.404,-6.7E-4,,,,,
CdBr2-KCl,60-40,P1,800,900,,3.991,-9.1E-4,,,,,
CdBr2-KCl,61.8-38.2,P1,720,800,,4.559,-0.00158,,,,,
CdBr2-KCl,80.5-19.5,P1,880,1080,,4.88,-0.00141,,,,,
CdBr2-KCl,100-0,P1,900,1060,,4.463,-5.4E-4,,,,"For 100% CdBr2, the departures from the recommended data set are: 900 K, -0.4%, 1060 K, +1.3%.",
CdBr2-NaBr,0-60 NaBr,I2,873.2,,,4.038,-0.007258,-5.155E-5,,,"For 100% CdBr2 at 873.2 K, the departure from the recommended data set is -0.2%.",
CdBr2-TlBr,10-100 CdBr2,I2,873,,,5.6795,-0.021769,5.1895E-5,,,"For 100% CdBr2 at 873 K, the departure from the recommended data set is +0.25%.",
CdBr2-ZnBr2,0-100,P1,690,860,,4.08,-9.05E-4,,,,"For 100% ZnBr2, the departures from the recommended data set are: 690 K, -0.8%, 860 K, -0.8%.",
CdBr2-ZnBr2,10-90,P1,690,830,,4.157,-9.09E-4,,,,,
CdBr2-ZnBr2,20-80,P1,700,730,,4.209,-8.81E-4,,,,,
CdBr2-ZnBr2,30-70,P1,720,830,,4.287,-8.84E-4,,,,,
CdBr2-ZnBr2,50-50,P1,820,940,,4.403,-8.46E-4,,,,,
CdBr2-ZnBr2,60-40,P1,820,930,,4.47,-8.43E-4,,,,,
CdBr2-ZnBr2,70-30,P1,830,930,,4.571,-8.7E-4,,,,,
CdBr2-ZnBr2,80-20,P1,860,930,,4.645,-8.72E-4,,,,,
CdBr2-ZnBr2,90-10,P1,860,930,,4.747,-9.E-4,,,,,
CdBr2-ZnBr2,100-0,P1,870,950,,4.834,-9.15E-4,,,,"For 100% CdBr2, the departures from the recommended data set are: 870 K, -0.15%, 950 K, -0.15%.",
CdBr2-ZnCl2,0-100,P1,630,770,,2.822,-5.06E-4,,,,"For 100% ZnCl2, the departures from the recommended data set are: 630 K, -0.05%, 770 K, +1.4%.",
CdBr2-ZnCl2,10-90,P1,760,890,,3.049,-5.3E-4,,,,,
CdBr2-ZnCl2,20-80,P1,770,900,,3.29,-5.9E-4,,,,,
CdBr2-ZnCl2,30-70,P1,770,910,,3.514,-6.46E-4,,,,,
CdBr2-ZnCl2,40-60,P1,780,920,,3.71,-6.7E-4,,,,,
CdBr2-ZnCl2,50-50,P1,820,910,,3.921,-7.18E-4,,,,,
CdBr2-ZnCl2,60-40,P1,820,900,,4.093,-7.38E-4,,,,,
CdBr2-ZnCl2,70-30,P1,830,900,,4.29,-7.86E-4,,,,,
CdBr2-ZnCl2,80-20,P1,840,900,,4.482,-8.42E-4,,,,,
CdBr2-ZnCl2,90-10,P1,840,930,,4.668,-8.96E-4,,,,,
CdBr2-ZnCl2,100-0,P1,870,950,,4.834,-9.15E-4,,,,"For 100% CdBr2, the departures from the recommended data set are: 870 K, -0.15%, 950 K, -0.15%.",
CdCl2,100,P1,840,1080,0.5%,4.078,-8.2E-4,,,,,
CdCl2-CdI2,0.0-100.0,P1,670,970,,5.133,-0.001117,,,,"For 100% CdI2, the results have been advanced as the recommended data set.",
CdCl2-CdI2,25.0-75.0,P1,650,970,,4.928,-0.00106,,,,,
CdCl2-CdI2,50.0-50.0,P1,700,970,,4.607,-8.8E-4,,,,,
CdCl2-CdI2,75.0-25.0,P1,780,970,,4.425,-8.7E-4,,,,,
CdCl2-CdI2,100.0-0.0,P1,860,970,,4.058,-8.E-4,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-CsCl,0.0-100.0,P1,980,1110,,3.718,-0.001024,,,,"For 100% CsCl, the departures from the recommended data set are: 980 K, -0.4%,1110 K, -0.15%.",
CdCl2-CsCl,13.2-86.8,P1,920,1090,,3.783,-0.001034,,,,,
CdCl2-CsCl,30.2-69.8,P1,920,1070,,3.707,-9.46E-4,,,,,
CdCl2-CsCl,46.7-53.3,P1,940,1070,,3.824,-0.001002,,,,,
CdCl2-CsCl,61.1-38.9,P1,920,1090,,3.949,-0.001012,,,,,
CdCl2-CsCl,74.3-25.7,P1,900,1070,,4.083,-0.001053,,,,,
CdCl2-CsCl,82.4-17.6,P1,880,1080,,4.156,-0.001052,,,,,
CdCl2-CsCl,100.0-0.0,P1,920,1070,,4.059,-8.E-4,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-KBr,0.0-100.0,P1,1080,1260,,2.908,-8.E-4,,,,"For 100% KBr, the departures from the recommended data set are: 1080 K, -1.0%,1260 K, -0.9%.",
CdCl2-KBr,9.7-90.3,P1,1040,1260,,3.082,-8.5E-4,,,,,
CdCl2-KBr,19.7-80.3,P1,1000,1220,,2.991,-7.1E-4,,,,,
CdCl2-KBr,29.9-70.1,P1,940,1220,,3.175,-7.9E-4,,,,,
CdCl2-KBr,39.6-60.4,P1,740,980,,3.421,-9.2E-4,,,,,
CdCl2-KBr,51.5-48.5,P1,680,980,,3.562,-9.7E-4,,,,,
CdCl2-KBr,55.4-44.6,P1,760,960,,3.721,-0.00102,,,,,
CdCl2-KBr,63.8-36.2,P1,800,1040,,3.834,-9.7E-4,,,,,
CdCl2-KBr,81.2-18.8,P1,800,960,,3.953,-9.4E-4,,,,,
CdCl2-KBr,89.6-10.4,P1,840,980,,4.025,-8.8E-4,,,,,
CdCl2-KBr,100.0-0.0,P1,860,980,,4.058,-8.E-4,,,,"For 100% CdCl2, the departures from the recommended data set are: 860 K, -0.09%, 980 K, 0.0%.",
CdCl2-KCl,24.8-75.2,P1,880,1020,,2.692,-7.2E-4,,,,,
CdCl2-KCl,40.0-60.0,P1,740,950,,3.015,-8.2E-4,,,,,
CdCl2-KCl,59.2-40.8,P1,740,950,,3.438,-9.5E-4,,,,,
CdCl2-KCl,83.1-16.9,P1,810,970,,3.887,-9.6E-4,,,,,
CdCl2-KCl,100-0,P1,860,990,,4.099,-8.4E-4,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-LiCl,0-100,P1,900,1020,,1.835,-3.82E-4,,,,"For 100% LiCl, the departures from the recommended data set are: 900 K, -0.3%,1020 K, -0.2%.",
CdCl2-LiCl,25.0-75.0,P1,850,1020,,2.73,-5.77E-4,,,,,
CdCl2-LiCl,50.0-50.0,P1,810,1020,,3.476,-8.45E-4,,,,,
CdCl2-LiCl,75.0-25.0,P1,800,1020,,3.818,-8.25E-4,,,,,
CdCl2-LiCl,100-0,P1,840,1080,,4.078,-8.2E-4,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-NaCl,34.3-65.7,P1,860,960,,3.123,-8.2E-4,,,,,
CdCl2-NaCl,44.3-55.7,P1,780,960,,3.325,-8.6E-4,,,,,
CdCl2-NaCl,55.5-44.5,P1,850,950,,3.566,-9.2E-4,,,,,
CdCl2-NaCl,64.8-35.2,P1,820,950,,3.827,-0.00104,,,,,
CdCl2-NaCl,77.8-22.2,P1,860,970,,3.937,-9.5E-4,,,,,
CdCl2-NaCl,100-0,P1,860,1080,,4.099,-8.4E-4,,,,"For 100% CdCl2, the departures from the recommended data set are: 860 K, +0.1%, 1080 K, 0.0%.",
CdCl2-PbCl2,0-100,P1,790,980,,6.112,-0.0015,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
CdCl2-PbCl2,20.6-79.4,P1,820,950,,5.793,-0.00143,,,,,
CdCl2-PbCl2,32.8-67.2,P1,760,950,,5.602,-0.00139,,,,,
CdCl2-PbCl2,58.2-41.8,P1,790,970,,5.048,-0.00118,,,,,
CdCl2-PbCl2,79.9-20.1,P1,820,950,,4.584,-0.00102,,,,,
CdCl2-PbCl2,100-0,P1,840,1080,,4.078,-8.2E-4,,,,"For 100% CdCl2, the results have been advanced as the recommended data set.",
CdCl2-RbCl,0.0-100.0,P1,995,1175,,3.092,-8.52E-4,,,,"For 100% RbCl, the departures from the recommended data set are: 1000 K, +0.1%, 1170 K, +0.3%.",
CdCl2-RbCl,10.3-89.7,P1,1010,1175,,3.177,-8.47E-4,,,,,
CdCl2-RbCl,22.6-77.4,P1,935,1085,,3.243,-8.55E-4,,,,,
CdCl2-RbCl,37.7-62.3,P1,905,1025,,3.367,-8.53E-4,,,,,
CdCl2-RbCl,48.8-51.2,P1,875,1055,,3.526,-8.9E-4,,,,,
CdCl2-RbCl,60.1-39.9,P1,860,1040,,3.754,-9.91E-4,,,,,
CdCl2-RbCl,74.4-25.6,P1,890,1070,,3.915,-9.37E-4,,,,,
CdCl2-RbCl,100.0-0.0,P1,920,1070,,4.059,-8.E-4,,,,"For 100% CdCl2, the results are in exact accord with the recommended data set.",
CdCl2-TlCl,0-100,P1,730,780,,6.802,-0.001682,,,,"For 100% TlCl, the departures from the recommended data set are: 730 K, -0.09%, 780 K, +0.02%.",
CdCl2-TlCl,10-90,P1,720,770,,6.548,-0.001742,,,,,
CdCl2-TlCl,20-80,P1,720,770,,6.259,-0.001721,,,,,
CdCl2-TlCl,30-70,P1,720,770,,5.931,-0.001607,,,,,
CdCl2-TlCl,40-60,P1,720,770,,5.593,-0.001437,,,,,
CdCl2-TlCl,50-50,P1,720,770,,5.398,-0.001418,,,,,
CdCl2-TlCl,60-40,P1,720,770,,5.18,-0.00136,,,,,
CdCl2-TlCl,70-30,P1,730,780,,4.922,-0.001243,,,,,
CdCl2-TlCl,80-20,P1,790,820,,4.661,-0.001122,,,,,
CdCl2-TlCl,100-0,P1,880,960,,4.098,-8.4E-4,,,,"For 100% CdCl2, the departures from the recommended data set are: 880 K, +0.1%, 960 K, 0.0%.",
CdCl2-ZnBr2,0-100,P1,690,860,,4.08,-9.05E-4,,,,"For 100% ZnBr2, the departures from the recommended data set are: 690 K, -0.8%, 860 K, -0.8%.",
CdCl2-ZnBr2,10-90,P1,820,910,,4.067,-8.9E-4,,,,,
CdCl2-ZnBr2,20-80,P1,820,920,,4.016,-8.33E-4,,,,,
CdCl2-ZnBr2,30-70,P1,820,910,,3.967,-7.77E-4,,,,,
CdCl2-ZnBr2,40-60,P1,800,910,,3.926,-7.3E-4,,,,,
CdCl2-ZnBr2,50-50,P1,790,900,,3.92,-7.15E-4,,,,,
CdCl2-ZnBr2,60-40,P1,820,920,,3.927,-7.14E-4,,,,,
CdCl2-ZnBr2,70-30,P1,820,920,,3.942,-7.18E-4,,,,,
CdCl2-ZnBr2,80-20,P1,820,910,,3.969,-7.34E-4,,,,,
CdCl2-ZnBr2,90-10,P1,820,910,,4.004,-7.54E-4,,,,,
CdCl2-ZnBr2,100-0,P1,880,960,,4.098,-8.4E-4,,,,"For 100% CdCl2, the departures from the recommended data set are: 880 K, +0.1%, 980 K, 0.0%.",
CdCl2-ZnCl2,0-100,P1,630,760,,2.822,-5.06E-4,,,,"For 100% ZnCl2, the departures from the recommended data set are: 630 K, -0.05%, 760 K, +0.1%.",
CdCl2-ZnCl2,10-90,P1,650,840,,2.916,-4.96E-4,,,,,
CdCl2-ZnCl2,20-80,P1,700,840,,2.997,-5.06E-4,,,,,
CdCl2-ZnCl2,30-70,P1,730,840,,3.135,-5.35E-4,,,,,
CdCl2-ZnCl2,40-60,P1,780,890,,3.263,-5.7E-4,,,,,
CdCl2-ZnCl2,50-50,P1,800,880,,3.388,-6.E-4,,,,,
CdCl2-ZnCl2,60-40,P1,850,920,,3.516,-6.4E-4,,,,,
CdCl2-ZnCl2,70-30,P1,850,920,,3.643,-6.7E-4,,,,,
CdCl2-ZnCl2,80-20,P1,860,920,,3.785,-7.2E-4,,,,,
CdCl2-ZnCl2,90-10,P1,860,920,,3.92,-7.57E-4,,,,,
CdCl2-ZnCl2,100-0,P1,880,960,,4.098,-8.4E-4,,,,"For 100% CdCl2, the departures from the recommended data set are: 880 K, +0.1%, 980 K, 0.0%.",
CdI2,100,P1,673,973,1%,5.133,-0.001117,,,,,
CdI2-CsI,0-100,P1,930,1040,,4.2631,-0.0011824,,,,"For 100% CsI, the departures from the recommended data set are: 930 K, +0.4%, 1035 K, 0.0%.",
CdI2-CsI,21.5-78.5,P1,880,1020,,4.4331,-0.0012026,,,,,
CdI2-CsI,41.5-58.5,P1,750,1000,,4.6243,-0.0012543,,,,,
CdI2-CsI,60.7-39.3,P1,830,980,,4.8803,-0.0013478,,,,,
CdI2-CsI,84.4-15.6,P1,760,960,,5.0443,-0.0013043,,,,,
CdI2-CsI,100-0,P1,770,950,,5.078,-0.0010668,,,,"For 100% CdI2, the departures from the recommended data set are: 770 K, -0.4%,950 K, -0.2%.",
CdI2-KI,0-100,P1,970,1070,,3.37,-9.6E-4,,,,"For 100% KI, the departures from the recommended data set are: 970 K, +0.29%, 1070 K, +0.25%.",
CdI2-KI,15.0-85.0,P1,890,1070,,3.767,-0.001092,,,,,
CdI2-KI,33.3-66.7,P1,690,1070,,4.074,-0.001115,,,,,
CdI2-KI,50.0-50.0,P1,490,970,,4.454,-0.001222,,,,,
CdI2-KI,66.7-33.3,P1,610,970,,4.784,-0.001291,,,,,
CdI2-KI,85.0-15.0,P1,650,970,,4.965,-0.00117,,,,,
CdI2-KI,100.0-0.0,P1,670,970,,5.133,-0.001117,,,,"For 100% CdI2, the results have been advanced as the recommended data set.",
CdI2-NaI,42.0-58.0,P1,800,920,,4.4989,-0.0011834,,,,,
CdI2-NaI,75.7-24.3,P1,660,850,,4.9069,-0.0011052,,,,,
CdI2-NaI,100-0,P1,770,950,,5.078,-0.0010668,,,,"For 100% CdI2, the departures from the recommended data set are: 770 K, -0.4%,950 K, -0.2%.",
CeCl3,100,P1,1123,1223,1%,4.248,-9.2E-4,,,,,
CeCl3-KCl,10-90,P1,1075,1170,,2.574,-6.95E-4,,,,,
CeCl3-KCl,20-80,P1,1075,1170,,2.868,-6.99E-4,,,,,
CeCl3-KCl,25-75,P1,1075,1170,,3.062,-7.59E-4,,,,,
CeCl3-KCl,40-60,P1,1075,1170,,3.306,-7.72E-4,,,,,
CeCl3-KCl,55-45,P1,1075,1170,,3.521,-7.85E-4,,,,,
CeCl3-KCl,70-30,P1,1075,1170,,3.829,-8.85E-4,,,,,
CeCl3-KCl,85-15,P1,1075,1170,,4.016,-8.86E-4,,,,,
CeCl3-KCl,100-0,P1,1095,1170,,4.336,-0.001,,,,"For 100% CeCl3, the departures from the recommended data set are: 1100 K, 0.0%, 1170 K, -0.2%.",
CeCl3-KCl-NaCl,2.9-48.5-48.6,P1,973,1123,,2.3846,-7.1999E-4,,,,,
CeCl3-KCl-NaCl,6.3-46.9-46.8,P1,973,1123,,2.5838,-8.6E-4,,,,,
CeCl3-KCl-NaCl,15.2-42.4-42.4,P1,973,1123,,2.8042,-9.2E-4,,,,"Estimated accuracy, based on the method, about 2.5%. KCl-NaCl ratio fixed at equimolar.",
CeF3,100,P1,1700,2200,3%,6.253,-9.36E-4,,,,,
CeF3-KF,0.0-100.0,P1,1140,1350,,2.555,-6.241E-4,,,,"For 100% KF, the departures from the recommended data set are: 1140 K, -3.2%, 1350 K, -3.1%.",
CeF3-KF,10.0-90.0,P1,1080,1350,,2.975,-6.678E-4,,,,,
CeF3-KF,20.0-80.0,P1,1065,1350,,3.333,-7.052E-4,,,,,
CeF3-KF,30.0-70.0,P1,1050,1350,,3.68,-7.171E-4,,,,,
CeF3-KF,40.0-60.0,P1,1185,1350,,3.82,-5.617E-4,,,,,
CeF3-LiF,0.0-100.0,P1,1125,1350,,2.074,-3.321E-4,,,,"For 100% LiF, the departures from the recommended data set are: 1150 K, -5.7%,1320 K, -4.3%.",
CeF3-LiF,12.0-88.0,P1,1095,1350,,3.286,-6.235E-4,,,,,
CeF3-LiF,19.0-81.0,P1,1095,1350,,3.837,-7.091E-4,,,,,
CeF3-LiF,24.0-76.0,P1,1155,1350,,4.161,-7.484E-4,,,,,
CeF3-LiF,30.0-70.0,P1,1200,1350,,4.061,-5.133E-4,,,,,
CeF3-NaF,0.0-100.0,P1,1275,1350,,2.682,-6.151E-4,,,,"For 100% NaF, the departures from the recommended data set are: 1280 K, -2.4%,1350 K, -2.3%.",
CeF3-NaF,10.0-90.0,P1,1215,1350,,3.207,-6.35E-4,,,,,
CeF3-NaF,20.0-80.0,P1,1110,1350,,3.67,-6.478E-4,,,,,
CeF3-NaF,28.0-72.0,P1,1080,1350,,3.999,-6.512E-4,,,,,
CeF3-NaF,30.0-70.0,P1,1080,1350,,4.063,-6.42E-4,,,,,
CeF3-NaF,40.0-60.0,P1,1185,1350,,4.486,-7.249E-4,,,,,
Co(PO3)2,100,P1,1395,1470,3%,2.9505,-1.341E-4,,,,,
CoBr2-KNO3,.003-99.997,P1,670,700,,2.3284,-7.502E-4,,,,,
CoBr2-KNO3,.005-99.995,P1,670,700,,2.3284,-7.502E-4,,,,,
CoBr2-KNO3,.014-99.986,P1,670,700,,2.3294,-7.502E-4,,,,,
CoBr2-KNO3,.027-99.973,P1,670,700,,2.3311,-7.502E-4,,,,,
Co4S3,100,P1,1473,1523,,4.3,-1.E-6,,,,,
Co4S3-Cu2S,100-0 Cu2S,I2,1473,,,4.2179,0.011803,2.0527E-6,,,"For both 100% Cu2S and 100% Co4S3 at 1473 K, the results have been advanced asthe recommended data set.",
Co4S3-FeS,0-100 FeS,I3,1523,,,4.2922,0.029749,-3.5985E-4,1.4328E-7,,"For both 100% Co4S3 and 100% FeS at 1523 K, the results have been advanced as the recommended data set.",
Co4S3-Ni3S2,100-0 Ni3S2,I3,1523,,,4.3049,0.0196,5.2086E-5,-1.5998E-6,,"For 100% Ni3S2 at 1523 K, the departure from the recommended data set is -1.3%, while for 100% Co4S3 at 1523 K the results have been advanced as the recommended data set.",
Cr2O3,100,DP,,,,3.9,2548K,,,,"This is at the m.pt. The density was calculated from the solid state density, assuming 25% volume increase.",
CsBF4,100,P1,840,990,1%,3.477,-0.00119,,,,,
CsBr,100,P1,910,1133,0.5%,4.2449,-0.0012234,,,,,
CsBr-CsCl,0-100,P1,940,1080,,3.7987,-0.0010849,,,,"For 100% CsCl, the departures from the recommended data set are: 940 K, +0.4%,1080 K, +0.3%.",
CsBr-CsCl,25-75,P1,960,1120,,3.9488,-0.0011506,,,,,
CsBr-CsCl,50-50,P1,940,1070,,4.0482,-0.0011692,,,,,
CsBr-CsCl,75-25,P1,940,1070,,4.1283,-0.0011755,,,,,
CsBr-CsCl,100-0,P1,940,1090,,4.2236,-0.0011952,,,,"For 100% CsBr, the departures from the recommended data set are: 940 K, +0.16%, 1080 K, +0.3%.",
CsBr-CsF,0-100,P1,930,1070,,4.8135,-0.0012105,,,,"For 100% CsF, the departures from the recommended data set are: 930 K, -0.5%, 1070 K, -0.3%.",
CsBr-CsF,12-88,P1,930,1070,,4.8084,-0.0013137,,,,,
CsBr-CsF,25-75,P1,930,1070,,4.6676,-0.0012885,,,,,
CsBr-CsF,37-63,P1,930,1070,,4.5614,-0.0012711,,,,,
CsBr-CsF,50-50,P1,930,1070,,4.4914,-0.0012749,,,,,
CsBr-CsF,63-37,P1,930,1070,,4.4032,-0.0012488,,,,,
CsBr-CsF,75-25,P1,930,1070,,4.3567,-0.0012476,,,,,
CsBr-CsF,88-12,P1,930,1070,,4.3178,-0.0012517,,,,,
CsBr-CsF,100-0,P1,930,1070,,4.2716,-0.0012468,,,,"For 100% CsBr, the departures from the recommended data set are: 930 K, +0.13%, 1070 K, +0.04%.",
CsBr-CsI,0-100,P1,950,1080,,4.3345,-0.0012568,,,,"For 100% CsI, the departures from the recommended data set are: 950 K, +0.3%, 1080 K, 0.0%.",
CsBr-CsI,25-75,P1,960,1130,,4.313,-0.0012501,,,,,
CsBr-CsI,50-50,P1,960,1130,,4.2817,-0.0012303,,,,,
CsBr-CsI,75-25,P1,950,1130,,4.2811,-0.0012334,,,,,
CsBr-CsI,100-0,P1,940,1080,,4.2236,-0.0011952,,,,"For 100% CsBr, the departures from the recommended data set are: 950 K, +0.16%, 1080 K, +0.3%.",
CsBr-KBr,50-50,P1,980,1110,,3.624,-0.001009,,,,,
CsBr-KCl,50-50,P1,940,1100,,3.3597,-9.408E-4,,,,,
CsBr-KCl,0-100 CsBr,I1,1073,,,1.449,0.01179,,,,"For both 100% KCl and 100% CsBr at 1073 K, the departure from the recommended data set is, respectively, -1.2% and -1.0%.",
CsBr-LiBr,0-100 LiBr,I2,1073,,,2.9385,-0.0027181,-2.8117E-5,,,"For both 100% CsBr and 100% LiBr at 1073 K, the departure from the recommendeddata set is, respectively, +0.2% and +0.8%.",
CsBr-NaCl,0-100 CsBr,I4,1073,,,1.562,0.02526,-2.034E-4,1.453E-6,-5.51E-9,"For both 100% NaCl and 100% CsBr at 1073 K, the departure from the recommendeddata set is, respectively, 0.0% and -1.0%.",
CsCl,100,P1,945,1179,1.5%,3.7692,-0.001065,,,,,
CsCl-CsF,0-100,P1,930,1070,,4.8135,-0.0012105,,,,"For 100% CsF, the departures from the recommended data set are: 930 K, -0.5%, 1070 K, -0.3%.",
CsCl-CsF,12-88,P1,930,1070,,4.7942,-0.0013456,,,,,
CsCl-CsF,25-75,P1,930,1070,,4.6394,-0.0013283,,,,,
CsCl-CsF,37-63,P1,930,1070,,4.3801,-0.0012054,,,,,
CsCl-CsF,50-50,P1,930,1070,,4.2382,-0.0011803,,,,,
CsCl-CsF,63-37,P1,930,1070,,4.1302,-0.0011778,,,,,
CsCl-CsF,75-25,P1,930,1070,,3.9361,-0.001077,,,,,
CsCl-CsF,88-12,P1,930,1070,,3.8766,-0.0010959,,,,,
CsCl-CsF,100-0,P1,930,1070,,3.7693,-0.0010536,,,,"For 100% CsCl, the departures from the recommended data set are: 930 K, +0.4%,1070 K, +0.5%.",
CsCl-CsI,0-100,P1,950,1080,,4.3345,-0.0012568,,,,"For 100% CsI, the departures from the recommended data set are: 950 K, +0.3%, 1080 K, 0.0%.",
CsCl-CsI,25-75,P1,940,1120,,4.2279,-0.0012283,,,,,
CsCl-CsI,50-50,P1,970,1120,,4.1068,-0.0011823,,,,,
CsCl-CsI,75-25,P1,970,1130,,3.9872,-0.001167,,,,,
CsCl-CsI,100-0,P1,940,1080,,3.7987,-0.0010849,,,,"For 100% CsCl, the departures from the recommended data set are: 940 K, +0.4%,1080 K, +0.3%.",
CsCl-KBr,0-100 KBr,I2,1073,,,2.633,-0.005799,2.448E-6,,,"For both 100% CsCl and 100% KBr at 1073 K, the departure from the recommended data set is, respectively, +0.1% and -0.97%.",
CsCl-KCl,0-100,P1,1060,1210,,2.1089,-5.583E-4,,,,"For 100% KCl, the departures from the recommended data set are: 1060 K, 0.0%, 1200 K, +0.06%.",
CsCl-KCl,25-75,P1,1030,1140,,2.6582,-7.654E-4,,,,,
CsCl-KCl,50-50,P1,1000,1140,,3.0844,-8.84E-4,,,,,
CsCl-KCl,75-25,P1,970,1140,,3.4567,-9.898E-4,,,,,
CsCl-KCl,100-0,P1,940,1090,,3.7987,-0.0010849,,,,"For 100% CsCl, the departures from the recommended data set are: 940 K, +0.4%,1080 K, +0.3%.",
CsCl-KI,0-100 CsCl,I3,1073,,,2.319,0.002196,-1.196E-5,1.978E-7,,"For both 100% KI and 100% CsCl at 1073 K, the departure from the recommended data set is, respectively, -0.6% and -0.4%.",
CsCl-LaCl3,5.1-94.9,P1,1140,1230,,3.707,-5.5E-4,,,,,
CsCl-LaCl3,10.3-89.7,P1,1140,1200,,3.75,-6.38E-4,,,,,
CsCl-LaCl3,22.0-78.0,P1,1130,1220,,3.696,-6.84E-4,,,,,
CsCl-LaCl3,35.0-65.0,P1,1080,1170,,3.679,-7.52E-4,,,,,
CsCl-LaCl3,47.7-52.3,P1,1090,1170,,3.707,-8.3E-4,,,,,
CsCl-LaCl3,60.2-39.8,P1,1060,1180,,3.708,-8.75E-4,,,,,
CsCl-LaCl3,73.5-26.5,P1,1050,1160,,3.74,-9.41E-4,,,,,
CsCl-LaCl3,87.3-12.7,P1,1020,1160,,3.782,-0.001015,,,,,
CsCl-LaCl3,100-0,P1,920,1070,,3.7808,-0.0010474,,,,"For 100% CsCl, the departures from the recommended data set are: 920 K, +1.0%,1070 K, +1.2%.",
CsCl-LiCl,0-100,P1,880,1070,,1.8965,-4.458E-4,,,,"For 100% LiCl, the departures from the recommended data set are: 880 K, +0.07%, 1070 K, -0.1%.",
CsCl-LiCl,1.73-98.27,P1,880,1070,,1.9574,-4.672E-4,,,,,
CsCl-LiCl,17.33-82.67,P1,880,1070,,2.4174,-6.285E-4,,,,,
CsCl-LiCl,30-70,P1,880,1070,,2.747,-7.304E-4,,,,,
CsCl-LiCl,45-55,P1,880,1070,,3.0975,-8.69E-4,,,,,
CsCl-LiCl,53-47,P1,880,1070,,3.2408,-9.253E-4,,,,,
CsCl-LiCl,60-40,P1,880,1070,,3.3352,-9.427E-4,,,,,
CsCl-LiCl,75-25,P1,880,1070,,3.5147,-9.754E-4,,,,,
CsCl-LiCl,90-10,P1,880,1070,,3.697,-0.0010474,,,,,
CsCl-LiCl,100-0,P1,920,1070,,3.7808,-0.0010474,,,,"For 100% CsCl, the departures from the recommended data set are: 920 K, +1.0%,1070 K, +1.2%.",
CsCl-MgCl2,0.0-100.0,P1,1020,1090,,1.95,-2.712E-4,,,,"For 100% MgCl2, the results have been advanced as the recommended data set.",
CsCl-MgCl2,65.5-34.5,P1,980,1070,,2.954,-7.22E-4,,,,,
CsCl-MgCl2,66.7-33.3,P1,980,1080,,3.032,-7.777E-4,,,,,
CsCl-MgCl2,69.3-30.7,P1,950,1070,,3.001,-7.3E-4,,,,,
CsCl-MgCl2,100.0-0.0,P1,950,1070,,3.829,-0.0011234,,,,"For 100% CsCl, the departures from the recommended data set are: 950 K, +0.18%, 1070 K, -0.12%.",
CsCl-MnCl2,0-100,P1,940,1020,,2.928,-6.15E-4,,,,"For 100% MnCl2, the departures from the recommended data set are: 940 K, +0.2%, 1020 K, -0.4%.",
CsCl-MnCl2,10-90,P1,910,970,,2.969,-5.8E-4,,,,,
CsCl-MnCl2,20-80,P1,910,970,,3.167,-7.73E-4,,,,,
CsCl-MnCl2,30-70,P1,880,970,,3.204,-8.09E-4,,,,,
CsCl-MnCl2,40-60,P1,880,970,,3.212,-8.15E-4,,,,,
CsCl-MnCl2,50-50,P1,900,970,,3.24,-8.35E-4,,,,,
CsCl-MnCl2,60-40,P1,880,970,,3.202,-7.73E-4,,,,,
CsCl-MnCl2,70-30,P1,860,970,,3.271,-7.95E-4,,,,,
CsCl-MnCl2,80-20,P1,820,970,,3.473,-9.26E-4,,,,,
CsCl-MnCl2,90-10,P1,940,1000,,3.576,-9.49E-4,,,,,
CsCl-MnCl2,100-0,P1,930,990,,3.731,-0.001023,,,,"For 100% CsCl, the departures from the recommended data set are: 930 K, +0.05%, 990 K, +0.09%.",
